session	optimize	depth	controllers	survivors	episodes	noise	initial_value	variance	session_seed	game_seed	name	generation	type	game_num	repetition	landing_height	eroded_cells	row_trans	col_trans	pits	cuml_wells	deep_wells	max_well	cuml_cleared	pit_depth	pit_rows	tetris	landing_height_norm	eroded_cells_norm	row_trans_norm	col_trans_norm	pits_norm	cuml_wells_norm	deep_wells_norm	max_well_norm	cuml_cleared_norm	pit_depth_norm	pit_rows_norm	tetris_norm	landing_height_var	eroded_cells_var	row_trans_var	col_trans_var	pits_var	cuml_wells_var	deep_wells_var	max_well_var	cuml_cleared_var	pit_depth_var	pit_rows_var	tetris_var	lines	l1	l2	l3	l4	score	level	eps	norm_of_weights
2017-06-27_20-43-37	score	80	200	10	600	4	0	100	1498596217.66	12741	G10_9	10	search	9	1	-16.5498045459	13.6877395829	-21.3151157348	-0.0	-53.0370478842	-13.2645435055	-2.90490917282	81.5109985962	-8.27800594885	-3.48129027711	-5.1474936149	17.7289285058	-0.203037686091	0.167925063104	-0.261499872433	-0.0	-0.650673513975	-0.162733173853	-0.0356382478788	1.0	-0.10155691982	-0.0427094543934	-0.0631509085099	0.217503512545													226	100	31	16	4	107300.0	22	600	11
2017-06-27_20-43-37	score	80	200	10	600	4	0	100	1498596217.66	51790	G10_10	10	search	10	1	-14.6753991048	6.31163330868	-10.3043240743	-0.0	-41.4598034839	-12.3655880402	-4.13324242603	78.1636452539	-8.04498515618	-6.86698051022	1.02234626381	38.4228851764	-0.187752235161	0.0807489631295	-0.131830137154	-0.0	-0.530423105899	-0.158201271193	-0.0528793457957	1.0	-0.102924897247	-0.0878538927901	0.0130795622503	0.491569770723													133	60	15	9	4	18400.0	13	376	11
2017-06-27_20-43-37	score	80	200	10	600	4	0	100	1498596217.66	60686	G10_11	10	search	11	1	-17.6047722523	-4.52032107487	-20.6175016291	-0.0	-51.5476478938	-10.6061536511	-0.418757337857	82.9150115368	-8.17627991812	-3.83310101567	-1.8872429573	18.0959826153	-0.212323099593	-0.054517523318	-0.248658249537	-0.0	-0.621692585436	-0.127915964245	-0.00505044056674	1.0	-0.0986103694201	-0.0462292767573	-0.0227611734271	0.218247362931													231	65	42	22	4	134700.0	23	600	11
2017-06-27_20-43-37	score	80	200	10	600	4	0	100	1498596217.66	15344	G10_12	10	search	12	1	-33.3092796513	5.78808000171	-12.2714351341	-0.0	-64.3897298864	-8.64181820946	-6.56884989813	83.6847313914	-12.9825391086	-3.46125964332	-7.92708311991	23.8490598967	-0.39803293979	0.0691653053726	-0.146638878205	-0.0	-0.76943223472	-0.103266367302	-0.0784952020388	1.0	-0.155136294193	-0.041360706855	-0.0947255609012	0.284986992252													35	3	0	4	5	6720.0	3	129	11
2017-06-27_20-43-37	score	80	200	10	600	4	0	100	1498596217.66	96157	G10_13	10	search	13	1	-25.0412906455	-11.1252486016	-18.693147713	-0.0	-56.7637359555	-8.16384980427	-0.534202372627	83.9444672392	-14.0435846032	-1.85959408265	-2.70390554006	14.552305514	-0.298307815501	-0.132531052581	-0.222684690579	-0.0	-0.676205803937	-0.0972529825106	-0.0063637591636	1.0	-0.167296131181	-0.0221526700187	-0.032210646264	0.17335633893													34	2	5	6	1	-2640.0	3	128	11
2017-06-27_20-43-37	score	80	200	10	600	4	0	100	1498596217.66	21602	G10_14	10	search	14	1	-16.8408521434	22.3868278349	-8.59644006129	-0.0	-55.6563800755	-5.56232577868	-7.50278044222	88.1108889914	-3.92657846879	-6.0380079603	-0.909650279239	40.605747535	-0.191132473366	0.254075609623	-0.0975638784229	-0.0	-0.631662904694	-0.0631286988742	-0.0851515689843	1.0	-0.0445640546105	-0.0685273753269	-0.01032392579	0.460848233401													96	10	7	8	12	58360.0	9	283	11
2017-06-27_20-43-37	score	80	200	10	600	4	0	100	1498596217.66	79368	G10_15	10	search	15	1	-20.1994637879	-4.53668236965	-16.1088304995	-0.0	-26.831439176	-11.8575926511	1.47337672944	79.8137248348	-8.6078397322	-5.07375313887	-6.44218619998	24.7016278264	-0.253082584852	-0.0568408801749	-0.201830330972	-0.0	-0.336175754628	-0.148565834706	0.0184601925608	1.0	-0.107849116803	-0.063569932983	-0.0807152681235	0.30949097887													227	69	30	22	8	149960.0	22	600	11
2017-06-27_20-43-37	score	80	200	10	600	4	0	100	1498596217.66	18540	G10_16	10	search	16	1	-21.8460079551	15.6541024169	-17.9516295625	-0.0	-41.206788834	-6.85873277799	-0.130525872359	82.6646233552	-7.04161873387	-8.91703891622	1.57574683774	42.8641502615	-0.264272757419	0.18936882286	-0.217162176925	-0.0	-0.498481540972	-0.082970592493	-0.00157898103277	1.0	-0.085182977289	-0.107870072521	0.019061924845	0.518530763484													43	10	5	5	2	-2700.0	4	150	11
2017-06-27_20-43-37	score	80	200	10	600	4	0	100	1498596217.66	81293	G10_17	10	search	17	1	-14.9437563578	-4.63992883542	-17.996481575	-0.0	-45.181866332	-5.88762817365	0.0341611166111	80.8411602153	-14.4407437548	-3.15210950127	-5.78812358826	24.66406669	-0.184853313806	-0.0573956239998	-0.222615330199	-0.0	-0.558896807166	-0.0728295853	0.000422570835452	1.0	-0.178631079964	-0.0389913936523	-0.07159871992	0.305092933159													44	2	3	8	3	7360.0	4	153	11
2017-06-27_20-43-37	score	80	200	10	600	4	0	100	1498596217.66	18431	G10_18	10	search	18	1	-17.0905866508	0.822269974347	-18.7479308223	-0.0	-43.0219698254	-10.0933341972	0.108581918464	81.6369965054	-5.84453622352	-11.8434198603	2.85043658782	34.0442330628	-0.209348547623	0.0100722712685	-0.229649933545	-0.0	-0.526991090645	-0.12363676555	0.00133005773255	1.0	-0.0715917595417	-0.145074174299	0.034915990419	0.417019666574													94	24	13	8	5	16420.0	9	277	11
