session	optimize	depth	controllers	survivors	episodes	noise	initial_value	variance	session_seed	game_seed	name	generation	type	game_num	repetition	landing_height	eroded_cells	row_trans	col_trans	pits	cuml_wells	deep_wells	max_well	cuml_cleared	pit_depth	pit_rows	tetris	landing_height_norm	eroded_cells_norm	row_trans_norm	col_trans_norm	pits_norm	cuml_wells_norm	deep_wells_norm	max_well_norm	cuml_cleared_norm	pit_depth_norm	pit_rows_norm	tetris_norm	landing_height_var	eroded_cells_var	row_trans_var	col_trans_var	pits_var	cuml_wells_var	deep_wells_var	max_well_var	cuml_cleared_var	pit_depth_var	pit_rows_var	tetris_var	lines	l1	l2	l3	l4	score	level	eps	norm_of_weights
2017-07-05_13-25-30	score	80	200	10	600	4	0	100	1499261130.36	63132	G1_21	1	search	21	1	-15.0609996848	-64.6545590288	-0.0	-45.0009627647	-59.9698668507	-8.2230521727	0.0	80.3241742671	-3.4577310049	0.850102031127	0.0	27.7563396562	-0.187502701674	-0.804920307226	-0.0	-0.560241834731	-0.746597987442	-0.10237331722	0.0	1.0	-0.0430472026192	0.010583389607	0.0	0.345553999272													15	3	2	0	2	-3440.0	1	79	9
2017-07-05_13-25-30	score	80	200	10	600	4	0	100	1499261130.36	70586	G1_22	1	search	22	1	-25.294256398	-62.046044589	-0.0	-45.8476106071	-51.4965081762	-8.44295050481	-0.0	77.875890706	-3.14946630972	-0.198003091789	-0.0	28.5720741261	-0.324802145679	-0.796729822626	-0.0	-0.58872662889	-0.661263809754	-0.108415459885	-0.0	1.0	-0.0404421224742	-0.00254254673679	-0.0	0.36689242161													18	9	1	1	1	-8500.0	1	88	9
2017-07-05_13-25-30	score	80	200	10	600	4	0	100	1499261130.36	11877	G1_23	1	search	23	1	-20.2218247908	-62.8095609049	-0.0	-58.5383953956	-58.4645416028	-8.11104392344	0.0	79.6649007727	-3.0882733334	-2.76187907018	0.0	33.7988652753	-0.253836063243	-0.788422006376	-0.0	-0.734807861779	-0.733880806174	-0.101814523646	0.0	1.0	-0.0387657965232	-0.0346687065872	0.0	0.424262943247													26	7	4	1	2	-8120.0	2	108	9
2017-07-05_13-25-30	score	80	200	10	600	4	0	100	1499261130.36	68328	G1_24	1	search	24	1	-7.96066531273	-69.0894826862	-0.0	-60.3943469281	-56.1223077201	-7.35352974846	0.0	83.4232584321	-4.6162669294	-1.89890783611	0.0	23.2610518521	-0.0954250105109	-0.828180102106	-0.0	-0.723950946813	-0.672741736236	-0.0881472371935	0.0	1.0	-0.0553354905594	-0.0227623311748	0.0	0.27883173457													5	3	1	0	0	-3380.0	0	54	9
2017-07-05_13-25-30	score	80	200	10	600	4	0	100	1499261130.36	66454	G1_25	1	search	25	1	-16.3089402576	-65.6790470293	-0.0	-58.8077224409	-67.5675547531	-13.5253233222	-0.0	83.3410824152	-3.12972338639	-5.9112512931	0.0	22.9943371561	-0.195689086162	-0.788075282033	-0.0	-0.705627053749	-0.810735267589	-0.162288788797	-0.0	1.0	-0.0375531886039	-0.0709284199556	0.0	0.275906389619													97	14	13	7	9	36960.0	9	284	9
2017-07-05_13-25-30	score	80	200	10	600	4	0	100	1499261130.36	6248	G1_26	1	search	26	1	-8.08615665514	-58.6401101997	-0.0	-61.9954726872	-56.0654340274	-8.21131144136	0.0	76.0423063927	-3.02902428239	-10.8552417334	0.0	21.0723470107	-0.106337603878	-0.771151126017	-0.0	-0.815276069705	-0.737292655721	-0.107983461193	0.0	1.0	-0.0398334088757	-0.142752662936	0.0	0.277113464995													6	4	1	0	0	-4240.0	0	58	9
2017-07-05_13-25-30	score	80	200	10	600	4	0	100	1499261130.36	68782	G1_27	1	search	27	1	-13.5144709216	-57.3907284618	-0.0	-55.5334220507	-48.9973150798	-13.0465797304	0.0	80.5226510563	-6.27054890767	-5.45179537058	0.0	26.2871150249	-0.167834401181	-0.712727756836	-0.0	-0.689662117705	-0.608491082163	-0.162023723254	0.0	1.0	-0.0778731055847	-0.0677051152572	0.0	0.326456154636													111	26	13	9	8	30660.0	11	320	9
2017-07-05_13-25-30	score	80	200	10	600	4	0	100	1499261130.36	97303	G1_28	1	search	28	1	-17.8214508967	-60.4317778379	-0.0	-55.5206655991	-41.9342148423	-9.24883827608	0.0	76.9846293953	-6.8781445065	1.5349769637	-0.0	25.2058409841	-0.231493624594	-0.784984980932	-0.0	-0.721191568177	-0.544708926596	-0.120138764695	0.0	1.0	-0.089344386802	0.0199387458998	-0.0	0.327413942005													9	1	2	0	1	-2160.0	0	66	9
2017-07-05_13-25-30	score	80	200	10	600	4	0	100	1499261130.36	74658	G1_29	1	search	29	1	-22.2079103065	-58.1414347474	-0.0	-40.6628781586	-51.1381237882	-10.8022069487	-0.0	84.5283533419	-1.33050459123	4.24173590758	-0.0	40.1229806795	-0.262727350392	-0.687833519153	-0.0	-0.481056078238	-0.604981899758	-0.127793888342	-0.0	1.0	-0.0157403349128	0.0501812201455	-0.0	0.474668902129													46	3	5	3	6	6120.0	4	156	9
2017-07-05_13-25-30	score	80	200	10	600	4	0	100	1499261130.36	48026	G1_30	1	search	30	1	-22.1011707483	-72.1590779846	-0.0	-49.1410328172	-53.7996123591	-3.62887450381	0.0	73.4322539813	-6.75492333559	-3.10973654648	0.0	22.6502916749	-0.300973612411	-0.982661896814	-0.0	-0.669202293991	-0.732642802614	-0.0494179915099	0.0	1.0	-0.091988505995	-0.0423483738804	0.0	0.308451537939													24	1	1	3	3	220.0	2	100	9
